PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
CJ Miles,IND,29,7,10,70,3,4,75,3,5,60,3,4,75,1,3,33.3,11,27,40.7
CJ Watson,ORL,32,3,6,50,1,1,100,2,5,40,0,3,0,0,3,0,5,13,38.5
CJ Wilcox,ORL,26,0,1,0,0,0,0,1,1,100,0,0,0,1,1,100,0,4,0
Cameron Payne,OKC,22,1,3,33.3,0,1,0,2,2,100,-,-,-,0,1,0,1,7,14.3
Caris LeVert,BKN,22,5,6,83.3,0,1,0,2,4,50,0,1,0,2,3,66.7,2,8,25
Carmelo Anthony,NYK,32,11,15,73.3,0,0,0,5,11,45.5,2,3,66.7,1,1,100,20,47,42.6
Chandler Parsons,MEM,28,6,8,75,0,0,0,0,1,0,1,1,100,0,0,0,0,1,0
Channing Frye,CLE,33,1,3,33.3,0,0,0,3,4,75,4,5,80,0,1,0,3,17,17.6
Chasson Randle,PHI,23,0,0,0,-,-,-,0,0,0,-,-,-,-,-,-,1,2,50
Cheick Diallo,NOP,20,2,3,66.7,0,1,0,0,1,0,-,-,-,0,0,0,0,0,0
Chinanu Onuaku,HOU,20,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
Chris Andersen,CLE,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris McCullough,BKN,21,5,6,83.3,0,0,0,1,1,100,0,0,0,-,-,-,0,1,0
Chris Paul,LAC,31,6,12,50,4,10,40,8,15,53.3,0,1,0,0,0,0,18,34,52.9
Christian Wood,CHA,21,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,0,0,0
Clint Capela,HOU,22,24,36,66.7,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0
Cody Zeller,CHA,24,20,26,76.9,3,4,75,1,1,100,0,0,0,0,0,0,0,0,0
Cole Aldrich,MIN,28,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Brewer,HOU,30,16,32,50,0,3,0,0,0,0,0,5,0,0,2,0,1,5,20
Cory Joseph,TOR,25,22,34,64.7,2,6,33.3,4,12,33.3,0,0,0,0,0,0,0,2,0
Courtney Lee,NYK,31,14,19,73.7,2,6,33.3,4,10,40,6,15,40,3,7,42.9,7,17,41.2
Cristiano Felicio,CHI,24,5,5,100,0,1,0,1,2,50,0,0,0,0,0,0,0,0,0
D'Angelo Russell,LAL,20,9,12,75,1,9,11.1,3,10,30,2,2,100,0,0,0,12,42,28.6
D.J. Augustin,ORL,29,11,25,44,0,1,0,0,2,0,2,5,40,1,2,50,5,15,33.3
Damian Jones,GSW,21,0,0,0,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0
Damian Lillard,POR,26,21,34,61.8,1,5,20,4,9,44.4,1,2,50,0,0,0,21,50,42
Damjan Rudez,ORL,30,2,2,100,0,0,0,1,1,100,0,1,0,0,0,0,5,8,62.5
Daniel Ochefu,WAS,23,0,1,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Danilo Gallinari,DEN,28,10,20,50,0,1,0,2,4,50,3,4,75,0,1,0,9,24,37.5
Danny Green,SAS,29,2,4,50,0,2,0,0,0,0,0,1,0,1,1,100,9,34,26.5
Dante Cunningham,NOP,29,11,16,68.8,1,1,100,1,4,25,1,7,14.3,1,2,50,1,2,50
Dante Exum,UTA,21,5,11,45.5,0,0,0,0,0,0,0,1,0,1,2,50,2,5,40
Dario Saric,PHI,22,9,18,50,0,1,0,3,5,60,0,0,0,0,0,0,5,23,21.7
Darrell Arthur,DEN,28,2,2,100,0,0,0,1,1,100,0,0,0,0,1,0,3,4,75
Darren Collison,SAC,29,26,41,63.4,2,3,66.7,5,9,55.6,1,3,33.3,1,1,100,5,9,55.6
Darrun Hilliard,DET,23,4,5,80,0,0,0,0,1,0,1,2,50,0,0,0,1,5,20
David Lee,SAS,33,18,20,90,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
David West,GSW,36,0,2,0,0,1,0,1,3,33.3,0,0,0,0,0,0,0,1,0
Davis Bertans,SAS,24,1,2,50,0,0,0,0,0,0,0,0,0,0,1,0,7,10,70
DeAndre Jordan,LAC,28,22,24,91.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Liggins,CLE,28,6,15,40,0,1,0,0,0,0,3,3,100,1,3,33.3,0,1,0
DeAndre' Bembry,ATL,22,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeMar DeRozan,TOR,27,34,41,82.9,6,20,30,14,23,60.9,1,2,50,0,0,0,1,2,50
DeMarcus Cousins,SAC,26,20,38,52.6,1,5,20,0,1,0,0,0,0,1,1,100,3,6,50
DeMarre Carroll,TOR,30,17,25,68,1,2,50,1,3,33.3,4,7,57.1,2,4,50,15,42,35.7
Dejounte Murray,SAS,20,3,9,33.3,3,4,75,0,2,0,0,0,0,0,0,0,0,1,0
Demetrius Jackson,BOS,22,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dennis Schroder,ATL,23,16,31,51.6,2,7,28.6,4,9,44.4,1,2,50,2,3,66.7,5,29,17.2
Denzel Valentine,CHI,23,0,3,0,1,2,50,0,1,0,0,2,0,1,1,100,4,10,40
Deron Williams,DAL,32,6,14,42.9,2,2,100,6,10,60,0,0,0,1,1,100,1,10,10
Derrick Favors,UTA,25,3,3,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Derrick Jones, Jr.",PHX,19,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
Derrick Rose,NYK,28,34,64,53.1,7,15,46.7,9,30,30,0,0,0,0,0,0,0,1,0
Derrick Williams,MIA,25,4,7,57.1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,100
Devin Booker,PHX,20,49,70,70,5,11,45.5,8,24,33.3,1,3,33.3,3,6,50,20,53,37.7
Devin Harris,DAL,33,6,13,46.2,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0
Dewayne Dedmon,SAS,27,4,7,57.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deyonta Davis,MEM,20,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0
Diamond Stone,LAC,19,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,0,0,0
Dion Waiters,MIA,25,17,30,56.7,0,1,0,2,5,40,0,0,0,1,1,100,4,10,40
Dirk Nowitzki,DAL,38,1,1,100,0,0,0,3,4,75,0,0,0,0,0,0,3,10,30
Domantas Sabonis,OKC,20,8,14,57.1,0,1,0,0,0,0,1,2,50,1,5,20,5,7,71.4
Donatas Motiejunas,NOP,26,3,3,100,1,2,50,0,0,0,1,1,100,0,0,0,0,2,0
Dorian Finney-Smith,DAL,23,5,7,71.4,0,0,0,0,0,0,0,1,0,1,3,33.3,2,7,28.6
Doug McDermott,CHI,25,12,20,60,2,4,50,3,9,33.3,2,5,40,0,1,0,6,20,30
