PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Deyonta Davis,MEM,21,38,16,14.60%,5,19,26.3,26.3,14.60%,5,19,26.3,0.00%,0,0,-
Dillon Brooks,MEM,22,55,48,33.80%,58,132,43.9,63.3,3.30%,7,13,53.8,30.40%,51,119,42.9
Dion Waiters,MIA,26,29,27,31.80%,41,121,33.9,49.2,3.20%,4,12,33.3,28.70%,37,109,33.9
Dirk Nowitzki,DAL,39,56,56,64.70%,169,356,47.5,60.8,26.00%,74,143,51.7,38.70%,95,213,44.6
Domantas Sabonis,IND,21,55,50,27.90%,47,131,35.9,38.9,22.30%,39,105,37.1,5.50%,8,26,30.8
Donovan Mitchell,UTA,21,53,48,18.90%,66,153,43.1,64.4,0.20%,1,2,50,18.60%,65,151,43
Dorian Finney-Smith,DAL,24,8,6,66.70%,5,14,35.7,53.6,0.00%,0,0,-,66.70%,5,14,35.7
Doug McDermott,DAL,26,56,50,45.90%,56,147,38.1,55.4,6.60%,5,21,23.8,39.40%,51,126,40.5
Dragan Bender,PHX,20,57,57,71.10%,84,217,38.7,57.4,3.00%,3,9,33.3,68.20%,81,208,38.9
Draymond Green,GSW,27,49,49,44.50%,61,185,33,47.3,4.60%,8,19,42.1,39.90%,53,166,31.9
Dwayne Bacon,CHA,22,35,17,28.10%,10,32,31.3,46.9,1.80%,0,2,0,26.30%,10,30,33.3
Dwight Buycks,DET,28,15,7,8.90%,4,8,50,68.8,1.10%,1,1,100,7.80%,3,7,42.9
Dwight Howard,CHA,32,56,28,10.30%,20,56,35.7,35.7,9.60%,20,52,38.5,0.70%,0,4,0
Dwight Powell,DAL,26,56,35,23.80%,20,63,31.7,42.1,6.00%,7,16,43.8,17.70%,13,47,27.7
Dwyane Wade,MIA,36,47,25,11.60%,14,48,29.2,37.5,4.60%,6,19,31.6,7.00%,8,29,27.6
E'Twaun Moore,NOP,28,55,55,39.30%,87,208,41.8,61.8,3.40%,4,18,22.2,35.90%,83,190,43.7
Ed Davis,POR,28,57,1,0.50%,1,1,100,100,0.50%,1,1,100,0.00%,0,0,-
Ekpe Udoh,UTA,30,48,9,10.20%,2,10,20,20,10.20%,2,10,20,0.00%,0,0,-
Elfrid Payton,PHX,23,45,31,12.80%,22,56,39.3,58.9,0.00%,0,0,-,12.80%,22,56,39.3
Emeka Okafor,NOP,35,2,1,20.00%,1,1,100,100,20.00%,1,1,100,0.00%,0,0,-
Emmanuel Mudiay,NYK,21,43,31,20.80%,23,62,37.1,54.8,1.00%,1,3,33.3,19.80%,22,59,37.3
Enes Kanter,NYK,25,52,24,7.80%,19,37,51.4,51.4,7.60%,19,36,52.8,0.20%,0,1,0
Eric Bledsoe,MIL,28,47,45,24.50%,53,146,36.3,53.4,1.00%,3,6,50,23.50%,50,140,35.7
