PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Patty Mills,SAS,29,57,51,41.90%,76,183,41.5,51.6,20.80%,39,91,42.9,21.10%,37,92,40.2
Pau Gasol,SAS,37,54,22,7.00%,12,30,40,40,7.00%,12,30,40,0.00%,0,0,-
Paul George,OKC,27,53,53,36.40%,123,314,39.2,46.2,24.60%,79,212,37.3,11.80%,44,102,43.1
Paul Millsap,DEN,33,16,15,23.30%,16,44,36.4,37.5,18.50%,15,35,42.9,4.80%,1,9,11.1
Paul Zipser,CHI,23,46,31,26.80%,10,49,20.4,20.4,22.40%,10,41,24.4,4.40%,0,8,0
Quincy Acy,BKN,27,48,11,4.90%,5,12,41.7,50,3.30%,3,8,37.5,1.60%,2,4,50
Quincy Pondexter,CHI,29,23,7,20.00%,0,9,0,0,6.70%,0,3,0,13.30%,0,6,0
Quinn Cook,GSW,24,11,7,42.30%,5,11,45.5,45.5,30.80%,5,8,62.5,11.50%,0,3,0
Rajon Rondo,NOP,31,41,31,23.80%,25,64,39.1,49.2,13.80%,12,37,32.4,10.00%,13,27,48.1
Ramon Sessions,NYK,31,13,10,25.00%,1,13,7.7,11.5,17.30%,0,9,0,7.70%,1,4,25
Rashad Vaughn,BKN,21,23,5,16.70%,3,8,37.5,37.5,8.30%,3,4,75,8.30%,0,4,0
Raul Neto,UTA,25,31,16,25.20%,10,29,34.5,37.9,17.40%,8,20,40,7.80%,2,9,22.2
Raymond Felton,OKC,33,55,52,50.30%,71,176,40.3,45.2,35.10%,54,123,43.9,15.10%,17,53,32.1
Reggie Bullock,DET,26,40,19,10.60%,11,28,39.3,44.6,7.20%,8,19,42.1,3.40%,3,9,33.3
Reggie Jackson,DET,27,33,33,43.20%,73,167,43.7,49.4,28.40%,54,110,49.1,14.70%,19,57,33.3
Richard Jefferson,DEN,37,16,2,13.00%,2,3,66.7,83.3,8.70%,1,2,50,4.30%,1,1,100
Richaun Holmes,PHI,24,26,5,4.80%,2,6,33.3,33.3,3.20%,2,4,50,1.60%,0,2,0
Ricky Rubio,UTA,27,54,54,50.30%,114,269,42.4,44.8,41.50%,101,222,45.5,8.80%,13,47,27.7
Robert Covington,PHI,27,50,34,11.90%,23,61,37.7,45.9,6.60%,13,34,38.2,5.30%,10,27,37
