PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
Jameer Nelson,DEN,34,6,13,46.2,6,9,66.7,5,16,31.3,0,0,0,0,1,0,11,28,39.3
James Ennis III,MEM,26,5,7,71.4,0,0,0,0,0,0,3,3,100,2,3,66.7,3,6,50
James Harden,HOU,27,46,65,70.8,13,36,36.1,7,17,41.2,0,0,0,0,0,0,34,93,36.6
James Johnson,MIA,29,19,32,59.4,4,6,66.7,1,5,20,0,1,0,3,4,75,7,22,31.8
James Jones,CLE,36,0,0,0,0,0,0,1,2,50,1,1,100,2,3,66.7,1,3,33.3
James Michael McAdoo,GSW,24,3,4,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Young,BOS,21,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Jared Dudley,PHX,31,3,7,42.9,0,0,0,5,9,55.6,1,1,100,1,6,16.7,7,17,41.2
Jared Sullinger,TOR,24,1,1,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jarell Martin,MEM,22,5,10,50,0,1,0,0,3,0,0,0,0,2,2,100,0,1,0
Jarnell Stokes,DEN,23,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Jason Smith,WAS,30,3,8,37.5,0,0,0,7,19,36.8,0,0,0,0,0,0,2,2,100
Jason Terry,MIL,39,0,2,0,0,0,0,1,1,100,0,3,0,1,3,33.3,1,1,100
Jaylen Brown,BOS,20,6,12,50,2,5,40,0,2,0,0,0,0,1,2,50,1,6,16.7
Jeff Green,ORL,30,11,18,61.1,3,6,50,1,7,14.3,2,4,50,0,2,0,10,21,47.6
Jeff Teague,IND,28,9,26,34.6,15,28,53.6,7,10,70,1,1,100,0,0,0,5,16,31.3
Jeff Withey,UTA,26,3,5,60,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0
Jerami Grant,OKC,22,8,14,57.1,1,3,33.3,0,4,0,0,0,0,5,9,55.6,2,7,28.6
Jeremy Lamb,CHA,24,5,13,38.5,2,5,40,9,15,60,0,1,0,0,1,0,2,7,28.6
Jeremy Lin,BKN,28,4,8,50,2,3,66.7,6,7,85.7,0,0,0,0,0,0,0,9,0
Jerian Grant,CHI,24,1,5,20,2,3,66.7,3,9,33.3,0,0,0,0,0,0,3,8,37.5
Jerryd Bayless,PHI,28,2,2,100,0,4,0,0,1,0,0,0,0,0,0,0,1,1,100
Jimmy Butler,CHI,27,18,27,66.7,7,14,50,21,41,51.2,1,4,25,1,1,100,5,19,26.3
Joakim Noah,NYK,31,9,18,50,2,2,100,0,1,0,0,0,0,0,0,0,0,0,0
Jodie Meeks,ORL,29,5,9,55.6,1,2,50,4,6,66.7,1,1,100,0,0,0,5,14,35.7
Joe Harris,BKN,25,6,10,60,0,0,0,1,2,50,1,1,100,3,5,60,17,43,39.5
Joe Ingles,UTA,29,5,7,71.4,0,0,0,0,1,0,1,2,50,0,2,0,8,16,50
Joe Johnson,UTA,35,2,2,100,3,8,37.5,2,8,25,0,1,0,1,3,33.3,3,9,33.3
Joe Young,IND,24,1,3,33.3,1,1,100,2,3,66.7,0,0,0,0,0,0,1,3,33.3
Joel Anthony,SAS,34,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Joel Bolomboy,UTA,23,1,1,100,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Joel Embiid,PHI,22,13,21,61.9,2,12,16.7,8,16,50,0,0,0,0,0,0,13,30,43.3
Joffrey Lauvergne,OKC,25,6,10,60,2,3,66.7,1,4,25,0,0,0,1,3,33.3,2,13,15.4
John Henson,MIL,26,10,20,50,2,8,25,1,4,25,0,0,0,0,0,0,0,0,0
John Jenkins,PHX,25,0,0,0,0,0,0,0,1,0,-,-,-,0,1,0,0,0,0
John Lucas III,MIN,34,0,0,0,0,0,0,-,-,-,0,0,0,-,-,-,0,0,0
John Wall,WAS,26,31,49,63.3,8,30,26.7,23,57,40.4,0,0,0,0,0,0,6,16,37.5
Jon Leuer,DET,27,6,10,60,7,10,70,10,21,47.6,0,1,0,1,1,100,7,24,29.2
Jonas Jerebko,BOS,29,1,2,50,1,1,100,1,2,50,0,4,0,0,3,0,1,6,16.7
Jonas Valanciunas,TOR,24,15,25,60,5,14,35.7,5,10,50,0,0,0,0,0,0,0,0,0
Jonathan Gibson,DAL,29,0,2,0,1,2,50,3,5,60,0,0,0,0,0,0,4,7,57.1
Jonathon Simmons,SAS,27,0,5,0,0,0,0,3,9,33.3,0,0,0,0,1,0,1,4,25
Jordan Clarkson,LAL,24,14,26,53.8,5,20,25,10,13,76.9,2,5,40,0,2,0,4,15,26.7
Jordan Farmar,SAC,30,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0
Jordan Hill,MIN,29,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0
Jordan McRae,CLE,25,2,6,33.3,0,2,0,1,5,20,0,0,0,0,0,0,3,4,75
Jordan Mickey,BOS,22,0,1,0,0,2,0,1,1,100,0,0,0,0,0,0,0,0,0
Jose Calderon,LAL,35,0,0,0,0,1,0,4,10,40,0,0,0,0,0,0,1,4,25
Josh McRoberts,MIA,29,1,2,50,1,4,25,0,3,0,0,0,0,0,0,0,2,4,50
Josh Richardson,MIA,23,4,7,57.1,1,3,33.3,8,20,40,1,4,25,2,2,100,8,20,40
Jrue Holiday,NOP,26,20,39,51.3,2,5,40,7,22,31.8,2,4,50,2,5,40,9,26,34.6
Juan Hernangomez,DEN,21,2,5,40,0,1,0,0,1,0,0,0,0,1,1,100,0,3,0
Julius Randle,LAL,22,18,33,54.5,10,21,47.6,9,17,52.9,0,0,0,0,0,0,0,2,0
Justin Anderson,DAL,23,7,10,70,1,3,33.3,0,5,0,2,4,50,0,0,0,3,9,33.3
Justin Hamilton,BKN,26,7,9,77.8,2,5,40,3,5,60,1,3,33.3,0,3,0,12,26,46.2
Justin Holiday,NYK,27,6,9,66.7,0,1,0,6,14,42.9,1,3,33.3,4,8,50,5,18,27.8
Justise Winslow,MIA,20,4,8,50,2,8,25,0,6,0,1,2,50,0,2,0,0,4,0
Jusuf Nurkic,DEN,22,19,26,73.1,1,5,20,0,4,0,0,0,0,0,0,0,0,0,0
KJ McDaniels,HOU,23,3,4,75,0,1,0,0,0,0,2,2,100,0,1,0,2,5,40
Karl-Anthony Towns,MIN,21,19,35,54.3,10,20,50,6,21,28.6,0,1,0,0,0,0,9,26,34.6
Kawhi Leonard,SAS,25,9,14,64.3,3,8,37.5,12,35,34.3,1,2,50,0,0,0,12,25,48
Kay Felder,CLE,21,3,8,37.5,1,4,25,6,12,50,0,1,0,0,0,0,1,1,100
Kelly Olynyk,BOS,25,4,9,44.4,0,0,0,1,4,25,0,0,0,0,1,0,6,19,31.6
Kelly Oubre Jr.,WAS,21,4,5,80,0,0,0,1,4,25,1,5,20,1,3,33.3,4,6,66.7
Kemba Walker,CHA,26,51,90,56.7,4,14,28.6,20,44,45.5,1,3,33.3,0,0,0,37,79,46.8
